Store,Category,Product,Product_URL,Source,Size,Bust,Waist,Hips,US/CAN,UK,EU,AUS,Cup Size
Fashion Nova,Tops + Dresses,,https://www.fashionnova.com/pages/size-guide,size_guide_page,XS,32-33,24-25,35-36,0/1,,,,
Fashion Nova,Tops + Dresses,,https://www.fashionnova.com/pages/size-guide,size_guide_page,S,34-35,26-27,37-38,3/5,,,,
Fashion Nova,Tops + Dresses,,https://www.fashionnova.com/pages/size-guide,size_guide_page,M,36-37,28-29,39-40,7/9,,,,
Fashion Nova,Tops + Dresses,,https://www.fashionnova.com/pages/size-guide,size_guide_page,L,38.5-40,30.5-32,41.5-43,11/13,,,,
Fashion Nova,Tops + Dresses,,https://www.fashionnova.com/pages/size-guide,size_guide_page,XL,41 1/2,33 1/2,44 1/2,15,,,,
Fashion Nova,Tops + Dresses,,https://www.fashionnova.com/pages/size-guide,size_guide_page,1X,44-45.5,37-38.5,47-48.5,14/16,,,,
Fashion Nova,Tops + Dresses,,https://www.fashionnova.com/pages/size-guide,size_guide_page,2X,47-49,40-42,50-52,18/20,,,,
Fashion Nova,Tops + Dresses,,https://www.fashionnova.com/pages/size-guide,size_guide_page,3X,51-53,44-46,54-56,22/24,,,,
Fashion Nova,Tops + Dresses,,https://www.fashionnova.com/pages/size-guide,size_guide_page,XS,81-84,61-64,89-91,,2/4,32/34,4/6,
Fashion Nova,Tops + Dresses,,https://www.fashionnova.com/pages/size-guide,size_guide_page,S,86-89,66-69,94-97,,6/8,36/38,8,
Fashion Nova,Tops + Dresses,,https://www.fashionnova.com/pages/size-guide,size_guide_page,M,91-94,71-74,99-102,,10/12,40,10/12,
Fashion Nova,Tops + Dresses,,https://www.fashionnova.com/pages/size-guide,size_guide_page,L,98-102,77-81,105-109,,14,42,14/16,
Fashion Nova,Tops + Dresses,,https://www.fashionnova.com/pages/size-guide,size_guide_page,XL,105,85,113,,16,44,18,
Fashion Nova,Tops + Dresses,,https://www.fashionnova.com/pages/size-guide,size_guide_page,1X,112-116,94-98,119-123,,18,44/46,18/20,
Fashion Nova,Tops + Dresses,,https://www.fashionnova.com/pages/size-guide,size_guide_page,2X,119-124,102-107,127-132,,20/22,48/50,22/24,
Fashion Nova,Tops + Dresses,,https://www.fashionnova.com/pages/size-guide,size_guide_page,3X,129-135,112-117,137-142,,24/26,52/54,26/28,
Fashion Nova,Bottoms + Skirts,,https://www.fashionnova.com/pages/size-guide,size_guide_page,XS,,24-25,35-36,0/1,,,,
Fashion Nova,Bottoms + Skirts,,https://www.fashionnova.com/pages/size-guide,size_guide_page,S,,26-27,37-38,3/5,,,,
Fashion Nova,Bottoms + Skirts,,https://www.fashionnova.com/pages/size-guide,size_guide_page,M,,28-29,39-40,7/9,,,,
Fashion Nova,Bottoms + Skirts,,https://www.fashionnova.com/pages/size-guide,size_guide_page,L,,30.5-32,41.5-43,11/13,,,,
Fashion Nova,Bottoms + Skirts,,https://www.fashionnova.com/pages/size-guide,size_guide_page,XL,,33 1/2,44 1/2,15,,,,
Fashion Nova,Bottoms + Skirts,,https://www.fashionnova.com/pages/size-guide,size_guide_page,1X,,37-38.5,47-48.5,14/16,,,,
Fashion Nova,Bottoms + Skirts,,https://www.fashionnova.com/pages/size-guide,size_guide_page,2X,,40-42,50-52,18/20,,,,
Fashion Nova,Bottoms + Skirts,,https://www.fashionnova.com/pages/size-guide,size_guide_page,3X,,44-46,54-56,22/24,,,,
Fashion Nova,Bottoms + Skirts,,https://www.fashionnova.com/pages/size-guide,size_guide_page,XS,,61-64,89-91,,2/4,32/34,4/6,
Fashion Nova,Bottoms + Skirts,,https://www.fashionnova.com/pages/size-guide,size_guide_page,S,,66-69,94-97,,6/8,36/38,8,
Fashion Nova,Bottoms + Skirts,,https://www.fashionnova.com/pages/size-guide,size_guide_page,M,,71-74,99-102,,10/12,40,10/12,
Fashion Nova,Bottoms + Skirts,,https://www.fashionnova.com/pages/size-guide,size_guide_page,L,,77-81,105-109,,14,42,14/16,
Fashion Nova,Bottoms + Skirts,,https://www.fashionnova.com/pages/size-guide,size_guide_page,XL,,85,113,,16,44,18,
Fashion Nova,Bottoms + Skirts,,https://www.fashionnova.com/pages/size-guide,size_guide_page,1X,,94-98,119-123,,18,44/46,18/20,
Fashion Nova,Bottoms + Skirts,,https://www.fashionnova.com/pages/size-guide,size_guide_page,2X,,102-107,127-132,,20/22,48/50,22/24,
Fashion Nova,Bottoms + Skirts,,https://www.fashionnova.com/pages/size-guide,size_guide_page,3X,,112-117,137-142,,24/26,52/54,26/28,
Fashion Nova,Swimwear + Lingerie,,https://www.fashionnova.com/pages/size-guide,size_guide_page,XS,32-33,24-25,35-36,,,,,32A-32B
Fashion Nova,Swimwear + Lingerie,,https://www.fashionnova.com/pages/size-guide,size_guide_page,S,34-35,26-27,37-38,,,,,32C-34B
Fashion Nova,Swimwear + Lingerie,,https://www.fashionnova.com/pages/size-guide,size_guide_page,M,36-37,28-29,39-40,,,,,34C-36B
Fashion Nova,Swimwear + Lingerie,,https://www.fashionnova.com/pages/size-guide,size_guide_page,L,38.5-40,30.5-32,41.5-43,,,,,36C-38C
Fashion Nova,Swimwear + Lingerie,,https://www.fashionnova.com/pages/size-guide,size_guide_page,XL,41 1/2,33 1/2,44 1/2,,,,,38D-40D
